Dataset	Is.Pilot	Passes.Filters	Protocol	Split	Annotator.ID	Sentence.ID	Pred.Token	Pred.Lemma	Gram.Func	Arg.Phrase	Arg.Tokens.Begin	Arg.Tokens.End	Property	Response	Applicable	Sent.Grammatical
adjunct	False	False	adjunct	dev	71	en-ud-dev.conllu 100	1	cry	nmod	in iraq	3	4	location	5	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 100	1	cry	nmod	in iraq	3	4	location	5	yes	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 366	9	earn	nmod	according to records released earlier this year	0	6	location	1	yes	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 366	9	earn	nmod	according to records released earlier this year	0	6	location	1	yes	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1013	7	resume	nmod	in response to the rockets	0	4	location	1	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1013	7	resume	nmod	in response to the rockets	0	4	location	1	no	5
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 101	1	run	nmod	across this item	2	4	location	1	no	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 101	1	run	nmod	across this item	2	4	location	1	no	5
adjunct	False	False	adjunct	train	73	en-ud-train.conllu 367	1	earn	nmod	in 1969 - 1970	4	7	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 367	1	earn	nmod	in 1969 - 1970	4	7	location	1	yes	5
adjunct	False	False	adjunct	dev	56	en-ud-dev.conllu 101	1	run	nmod	on the internet	5	7	location	5	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 101	1	run	nmod	on the internet	5	7	location	5	yes	5
adjunct	False	False	adjunct	dev	26	en-ud-dev.conllu 103	3	go	nmod	into a war zone	4	7	location	5	yes	5
adjunct	False	False	adjunct	dev	71	en-ud-dev.conllu 103	3	go	nmod	into a war zone	4	7	location	5	yes	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 3686	7	exist	nmod	between the reported dpr and the final accounting p&l as generated on the as400	8	21	location	4	yes	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3686	7	exist	nmod	between the reported dpr and the final accounting p&l as generated on the as400	8	21	location	1	yes	5
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 368	6	earn	nmod	in other words	1	3	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 368	6	earn	nmod	in other words	1	3	location	1	yes	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1047	1	be	nmod	just off their beautiful beach	3	7	location	5	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1047	1	be	nmod	just off their beautiful beach	3	7	location	5	yes	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 368	6	earn	nmod	in 1969 - 1970 alone	19	23	location	1	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 368	6	earn	nmod	in 1969 - 1970 alone	19	23	location	1	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 1083	2	incorporate	nmod	as a city	3	5	location	1	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1083	2	incorporate	nmod	as a city	3	5	location	1	no	5
